t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
646,5.92629525094458e-4,2.0003288821241047e-4,0.0015759899064531307,5.90163219334724e-4,1.9928779339574573e-4,0.0015719716061679408
647,5.987621351602877e-4,2.0825349208098234e-4,0.001558335027834069,5.972138237958014e-4,2.0724908777580307e-4,0.001551514916229779
648,6.030705992466294e-4,2.0755235349956166e-4,0.0015347015306649702,5.987158139308263e-4,2.076612623320392e-4,0.0015258160882599002
649,6.003424898552532e-4,2.0880781895573096e-4,0.0015028140837759403,5.95528947381451e-4,2.0821447171769187e-4,0.00149307627657665
650,5.934868626879723e-4,2.0785529352600348e-4,0.0014643371899108167,5.942374277382553e-4,2.072103159037821e-4,0.0014536333967152355
651,5.84186483707299e-4,2.0869000943248863e-4,0.0014246892949150687,5.84809892259602e-4,2.088008460974577e-4,0.0014140844543529339
652,5.851118695811212e-4,2.092133061065968e-4,0.001382305133195051,5.859861801937657e-4,2.0772875459803257e-4,0.0013711666953116612
653,5.850380519960764e-4,2.0964433888656292e-4,0.0013371231942684225,5.831126166202551e-4,2.091766734827992e-4,0.0013255451247303767
654,5.827492841359042e-4,2.0993383392512206e-4,0.0012904277696721097,5.804640544120747e-4,2.0927913440568917e-4,0.001285608160805679
655,5.80771670605791e-4,2.1270170202877133e-4,0.0012497060990746336,5.790815630227464e-4,2.138005355278977e-4,0.0012482093319895037
656,5.777037226177449e-4,2.183206290447753e-4,0.0012141965921005444,5.762324956115408e-4,2.1867601997958597e-4,0.0012127574075365502
657,5.71106972650343e-4,2.2318261604988704e-4,0.001178093425464231,5.662091874895172e-4,2.236182873057662e-4,0.0011755077327630608
658,5.699564655127312e-4,2.2202019000276425e-4,0.001144012844292558,5.65748903870169e-4,2.2214139336061643e-4,0.0011408812708739854
659,5.727324421869631e-4,2.2115769497937102e-4,0.0011099096287563344,5.711777325563413e-4,2.2154571170180748e-4,0.0011057647958321567
660,5.691027323438457e-4,2.20098554503119e-4,0.0010779574700683185,5.680442723177306e-4,2.2011652956323557e-4,0.0010731985551523826
661,5.623852001491719e-4,2.1926081764949993e-4,0.0010588750091458789,5.488389602548927e-4,2.1964499073385494e-4,0.001050688558887143
662,5.403966449593168e-4,2.1840118086357519e-4,0.0010361408826584126,5.275780898149697e-4,2.183658159022641e-4,0.0010231670181432193
663,5.196939668322125e-4,2.1763854329540975e-4,0.0010070341259629599,5.07609549292725e-4,2.1797899790028635e-4,0.0010064984124689075
664,5.001880740628106e-4,2.1627367967207874e-4,0.0010166284800243613,4.903557373636156e-4,2.1724435151989867e-4,0.00101611176546925
665,4.842647089847517e-4,2.1381586850292513e-4,0.001027480132203744,4.8426123038437867e-4,2.1436520705639007e-4,0.0010268566049083543
